Source      ,Target       ,category        ,Weight
PA31274     ,DOID:13238   ,ASSOCIATED_WITH ,     1
PA31274     ,PA165109006  ,ASSOCIATED_WITH ,     1
PA31274     ,PA443575     ,ASSOCIATED_WITH ,     1
PA31274     ,PA443566     ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:0060000 ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:11573   ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:3481    ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:6195    ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:2123    ,ASSOCIATED_WITH ,     1
PA31274     ,PA443385     ,ASSOCIATED_WITH ,     1
